year,chlorophyll_0_100
1999,67.9540166022969
2000,52.1094159856983
2001,68.2464238844857
2002,47.7351104768828
2003,96.5779573410645
2004,66.6141368825154
2005,52.552346668858
2006,36.826059677836
2007,99.5821330359284
2008,34.0110295500563
2009,74.8228940935921
2010,35.1878215420457
2011,35.5103671667243
2012,60.9529268264785
2013,23.6362519270248
2014,78.6490145434608
2015,88.4217586765976
2016,33.5285105839895
2017,53.4101238400168
2018,65.5250473752204
