mission_id,,bc_mission_descriptor,bc_mission_name,,odf_cruiseNumber,odf_cruise
18HU04019,,18HU04019,HUD2004019,,HUD2004019,ORPHAN BASIN FLEMISH PASS LAURENTIAN FAN SCOTIAN SHELF
18TL04529,,18TL04529,2004529,,TEL2004529,4VWX BAY OF FUNDY COASTAL NOVA SCOTIA
18TL04530,,18TL04530,2004530,,TEL2004530,EASTERN SCOTIAN SHELF
18HU04055,,18HU04055,HUD2004055,,HUD2004055,SCOTIAN SHELF
18HU04061,,18HU04061,IML-2004-61 Ice Forecast 2004,,2004061,Ice Forecast 2004
18HU04061,,18HU04061,IML-2004-61 Monitorage des sections du PMZA,,2004061,Ice Forecast 2004
18TL05545,,18TL05545,TEL2005545,,TEL2005545,GEORGES BANK
18TL05546,,18TL05546,TEL2005546,,TEL2005546,4VsW SCOTIAN SHELF
18NE05004,,18NE05004,NED2005004,,NED2005004,SCOTIAN SHELF
18VA05666,,18VA05666,BCD2005666,,BCD2005666,STATION 2 (SCOTIAN SHELF)
18HU05016,,18HU05016,HUD2005016,,HUD2005016,LABRADOR SEA SCOTIAN SHELF SLOPE
18HU05021,,18HU05021,HUD2005021,,HUD2005021,GULF OF MAINE BAY OF FUNDY
18TL05605,,18TL05605,TEL2005605 - SUMMER GROUNDFISH,,TEL2005605,WESTERN SCOTIAN SHELF ~ BAY OF FUNDY
18TL05633,,18TL05633,TEL2005633- SUMMER GROUNDFISH,,TEL2005633,EASTERN SCOTIAN SHELF ~ SYDNEY BIGHT
18HU05055,,18HU05055,HUD2005055,,HUD2005055,SCOTIAN SHELF
18VA06666,,18VA06666,BCD2006666,,BCD2006666,STATION 2 (SCOTIAN SHELF)
18TL06614,,18TL06614,TEL2006614,,TEL2006614,GEORGES BANK
18TL06615,,18TL06615,TEL2006615,,TEL2006615,4VWS EASTERN SCOTIAN SHELF
18HU06008,,18HU06008,HUD2006008,,HUD2006008,SCOTIAN SHELF
18HU06019,,18HU06019,HUD2006019,,HUD2006019,LABRADOR SEA SCOTIAN SHELF SLOPE
18NE06030,,18NE06030,NED2006030,,NED2006030,4VWX SCOTIAN SHELF
18NE06036,,18NE06036,NED2006036,,NED2006036,4VWX SCOTIAN SHELF
18HU06052,,18HU06052,HUD2006052,,HUD2006052,SCOTIAN SHELF
18MH06059,,18MH06059,MAT2006059,,MAT2006059,Scotian Shelf
18VA07666,,18VA07666,BCD2007666,,BCD2007666,STATION 2 (SCOTIAN SHELF)
181C07685,,181C07685,TEM2007685,,TEM2007685,GEORGES BANK
181C07686,,181C07686,TEM2007686,,TEM2007686,4VsW EASTERN SCOTIAN SHELF
18HU07001,,18HU07001,HUD2007001,,HUD2007001,SCOTIAN SHELF SLOPE LAURENTIAN CHANNEL
18HU07011,,18HU07011,HUD2007011,,HUD2007011,SCOTIAN SHELF SLOPE LABRADOR SEA
18TL07745,,18TL07745,TEL2007745,,TEL2007745,4VWX SCOTIAN SHELF
18HU07033,,18HU07033,HUD2007033,,HUD2007033,SCOTIAN SHELF SABLE GULLY
18HU07045,,18HU07045,HUD2007045,,HUD2007045,SCOTIAN SHELF
18VA08666,,18VA08666,BCD2008666,,BCD2008666,SCOTIAN SHELF (STATION 2)
181C08775,,181C08775,TEM2008775,,TEM2008775,NAFO DIVISIONS 5Z (GEORGES BANK) AND 4X (WESTERN SCOTIAN SHELF and BAY OF FUNDY)
18TL08805,,18TL08805,TEL2008805,,TEL2008805,4VsW EASTERN SCOTIAN SHELF
18HU08004,,18HU08004,HUD2008004,,HUD2008004,SCOTIAN SHELF CABOT STRAIT GRAND BANKS
18HU08006,,18HU08006,HUD2008006,,HUD2008006,ORPHAN KNOLL
18HU08009,,18HU08009,HUD2008009,,HUD2008009,LABRADOR SEA ~ SCOTIAN SHELF
181C08830,,181C08830,TEM2008830,,TEM2008830,4VWX SCOTIAN SHELF
18HU08037,,18HU08037,HUD2008037,,HUD2008037,SCOTIAN SHELF
18VA09666,,18VA09666,BCD2009666,,BCD2009666,STATION 2 (SCOTIAN SHELF)
