"year","station","temperature_in_air"
1985,"Halifax",5.86
1986,"Halifax",5.95
1987,"Halifax",6.23
1988,"Halifax",6.42
1989,"Halifax",5.86
1990,"Halifax",7.27
1991,"Halifax",7.05
1992,"Halifax",5.84
1993,"Halifax",5.93
1994,"Halifax",6.73
1995,"Halifax",6.63
1996,"Halifax",6.63
1997,"Halifax",5.99
1998,"Halifax",7.64
1999,"Halifax",8.57
2000,"Halifax",7.38
2001,"Halifax",7.5
2002,"Halifax",6.89
2003,"Halifax",7.01
2004,"Halifax",6.31
2005,"Halifax",7.21
2006,"Halifax",8.08
2007,"Halifax",6.5
2008,"Halifax",7.35
2009,"Halifax",6.89
2010,"Halifax",8.4
2011,"Halifax",7.58
2012,"Halifax",8.37
2013,"Halifax",7.1
2014,"Halifax",7.31
2015,"Halifax",6.66
2016,"Halifax",7.68
2017,"Halifax",7.68
2018,"Halifax",7.57
2019,"Halifax",6.94
2020,"Halifax",7.39
1897,"Sable Island",5.619
1898,"Sable Island",7.686
1899,"Sable Island",7.245
1900,"Sable Island",7.92
1901,"Sable Island",8.145
1902,"Sable Island",7.861
1903,"Sable Island",6.878
1904,"Sable Island",6.62
1905,"Sable Island",6.361
1906,"Sable Island",7.403
1907,"Sable Island",6.57
1908,"Sable Island",7.553
1909,"Sable Island",7.503
1910,"Sable Island",8.161
1911,"Sable Island",6.886
1912,"Sable Island",6.503
1913,"Sable Island",7.52
1914,"Sable Island",6.02
1915,"Sable Island",6.978
1916,"Sable Island",6.786
1917,"Sable Island",6.97
1918,"Sable Island",6.603
1919,"Sable Island",6.703
1920,"Sable Island",7.228
1921,"Sable Island",5.916
1922,"Sable Island",6.755
1923,"Sable Island",6.02
1924,"Sable Island",6.711
1925,"Sable Island",6.478
1926,"Sable Island",6.553
1927,"Sable Island",7.67
1928,"Sable Island",7.403
1929,"Sable Island",6.986
1930,"Sable Island",7.603
1931,"Sable Island",8.47
1932,"Sable Island",7.495
1933,"Sable Island",7.445
1934,"Sable Island",7.253
1935,"Sable Island",6.403
1936,"Sable Island",7.578
1937,"Sable Island",8.144
1938,"Sable Island",7.82
1939,"Sable Island",6.661
1940,"Sable Island",6.878
1941,"Sable Island",6.286
1942,"Sable Island",7.903
1943,"Sable Island",7.086
1944,"Sable Island",7.386
1945,"Sable Island",7.661
1946,"Sable Island",7.753
1947,"Sable Island",7.771
1948,"Sable Island",6.486
1949,"Sable Island",8.353
1950,"Sable Island",7.445
1951,"Sable Island",9.328
1952,"Sable Island",8.578
1953,"Sable Island",8.478
1954,"Sable Island",8.386
1955,"Sable Island",7.061
1956,"Sable Island",7.486
1957,"Sable Island",7.403
1958,"Sable Island",8.186
1959,"Sable Island",6.736
1960,"Sable Island",8.286
1961,"Sable Island",7.628
1962,"Sable Island",7.086
1963,"Sable Island",7.203
1964,"Sable Island",7.045
1965,"Sable Island",6.503
1966,"Sable Island",7.645
1967,"Sable Island",7.995
1968,"Sable Island",7.703
1969,"Sable Island",8.286
1970,"Sable Island",7.878
1971,"Sable Island",7.953
1972,"Sable Island",7.261
1973,"Sable Island",7.578
1974,"Sable Island",7.011
1975,"Sable Island",7.061
1976,"Sable Island",8.003
1977,"Sable Island",7.753
1978,"Sable Island",7.37
1979,"Sable Island",8.103
1980,"Sable Island",7.036
1981,"Sable Island",8.628
1982,"Sable Island",7.57
1983,"Sable Island",8.678
1984,"Sable Island",8.678
1985,"Sable Island",6.77
1986,"Sable Island",7.103
1987,"Sable Island",7.328
1988,"Sable Island",7.578
1989,"Sable Island",7.47
1990,"Sable Island",7.836
1991,"Sable Island",7.853
1992,"Sable Island",7.228
1993,"Sable Island",7.661
1994,"Sable Island",8.22
1995,"Sable Island",7.744
1996,"Sable Island",7.714
1997,"Sable Island",7.136
1998,"Sable Island",8.411
1999,"Sable Island",9.645
2000,"Sable Island",8.803
2001,"Sable Island",8.278
2002,"Sable Island",8.036
2003,"Sable Island",7.961
2004,"Sable Island",7.536
2005,"Sable Island",8.495
2006,"Sable Island",9.145
2007,"Sable Island",7.653
2008,"Sable Island",8.228
2009,"Sable Island",8.335
2010,"Sable Island",9.329
2011,"Sable Island",8.595
2012,"Sable Island",9.728
2013,"Sable Island",8.778
2014,"Sable Island",9.206
2015,"Sable Island",8.969
2016,"Sable Island",9.135
2017,"Sable Island",8.628
2018,"Sable Island",8.636
2019,"Sable Island",7.786
2020,"Sable Island",8.784
1871,"Saint John",3
1872,"Saint John",3.22
1873,"Saint John",3.21
1874,"Saint John",3.52
1875,"Saint John",2.35
1876,"Saint John",3.27
1877,"Saint John",4.2
1878,"Saint John",4.57
1879,"Saint John",3.07
