station,year,diatoms_log10,dinoflagellates_log10,flagellates_log10,ciliates_log10
HL2,1999,4.111076142100771,3.534801474324257,3.43106415890227,2.770001903860571
HL2,2000,4.010235214948173,3.403162339696624,4.540120583900526,2.8206823051498064
HL2,2001,4.315976709335246,3.6532956049112677,3.74921697714606,2.6601711494504228
HL2,2002,3.901525553435841,3.1726753745994865,3.6037329228852912,1.7548928390488618
HL2,2003,4.188708179736083,3.226091977243028,3.3796756050796777,2.4266941299249623
HL2,2004,4.111209949209859,3.6525441356236903,4.329221795502699,2.7603325952356883
HL2,2005,3.87277405425378,3.376838610252392,3.6713716435166615,2.585304302573088
HL2,2006,3.558074010190087,3.1694485967592745,3.831783217019298,1.841797681650001
HL2,2007,4.087914749160674,3.5727689054970915,4.225378402365922,2.889328688768591
HL2,2008,3.950344404546811,3.7642393230066165,4.1715716057730194,2.6954056525310683
HL2,2009,3.5466367630430304,3.0437164729984905,3.544841272419956,2.66893794333002
HL2,2010,3.5267791093401417,3.0931169876053786,3.5243617395845823,1.9048841452668006
HL2,2011,3.938317095160354,3.4267450064445795,3.749868617309832,2.745086871044333
HL2,2012,3.5275226035170197,3.0508878046176435,3.547893678976428,2.5036787477259512
HL2,2013,3.889415580082033,3.360130144189867,3.837894843544528,2.52463695135628
HL2,2014,4.126772538716297,3.3204628014363617,4.021996810265314,3.0112940342986394
HL2,2015,3.7672440430199807,3.2329664587223395,3.656658476882942,2.602675112130991
HL2,2016,3.5937032518262635,3.4256404354039325,3.943533181898598,2.964898007051169
HL2,2017,3.8342668254791907,3.1575638782617776,4.228872226984651,2.592963634709509
HL2,2018,3.739268449301906,3.335985339732736,3.8780866153329576,2.7874054248990348
HL2,2019,3.684456095522553,3.1991493346641895,3.9824191227595236,2.7666465758333474
P5,1999,4.846715242447694,2.1506488358357685,1.9651629189230009,1.550690145156874
P5,2000,4.714646452043958,2.7988675874228144,2.5662684234831787,1.8003772321134925
P5,2001,4.69050596780476,2.2909540600314786,2.7519774755749147,0.8598377090724003
P5,2002,4.432622411808228,1.7061658755556761,0.9732708653118258,0.686080587572725
P5,2003,4.435931269142238,1.6760449680625804,0.9729351638058283,1.546293350086878
P5,2004,4.626503400250956,2.2097836395626884,1.07440449801529,1.2912206683253322
P5,2005,4.287159126182162,1.6275370548976984,1.2770128703019814,0.7747681394637588
P5,2006,4.41487161206928,2.28465885870605,0.42734909830474627,1.028920440804607
P5,2007,4.418927859259027,1.6949504583113344,1.2308777644739572,0.8073718870220202
P5,2008,4.609740403082797,1.9734528275024423,1.2248505277727044,1.3249412248369303
P5,2009,4.198296792743688,2.644801901780921,1.4809019788140318,1.2516257861321758
P5,2010,4.3441199171476885,1.330039977598709,0.5757990143551159,0.24196937634034957
P5,2011,4.286279285801277,2.3261359533186843,1.3001136810780092,2.3380173414072583
P5,2012,4.207535272392971,3.0159784619015757,1.3115594733744784,1.77445714032603
P5,2013,4.3770279066837965,2.590565117925505,1.4835068192860574,2.764517156103033
P5,2014,4.291487737663037,2.695837447443422,1.216323058822234,1.939903498861759
P5,2015,4.316998184642105,2.3059389286401184,1.5676093862455944,2.1912687509237467
P5,2016,4.259978712660669,2.765023234638115,1.5883679665356203,2.4552882238755553
P5,2017,4.497526360758381,2.9310818145541804,1.739208573187652,2.387280806549395
P5,2018,4.330484065378629,2.693294430196449,1.2527734424732095,2.4754281435653764
P5,2019,4.29883123200444,2.7164137185114563,1.134928523104658,2.3707246501930337
