year,area_name,density_gradient_0_50,temperature_at_sea_floor,cold_intermediate_layer_volume,minimum_temperature_in_cold_intermediate_layer,area
2007,NA,NA,3.937,NA,NA,4Vn
2008,NA,NA,4.034,NA,NA,4Vn
2009,NA,NA,3.889,NA,NA,4Vn
2010,NA,NA,4.205,NA,NA,4Vn
2011,NA,NA,4.669,NA,NA,4Vn
2012,NA,NA,4.473,NA,NA,4Vn
2013,NA,NA,4.202,NA,NA,4Vn
2014,NA,NA,5.159,NA,NA,4Vn
2015,NA,NA,4.915,NA,NA,4Vn
2016,NA,NA,4.864,NA,NA,4Vn
2017,NA,NA,4.67,NA,NA,4Vn
2018,NA,NA,NA,NA,NA,4Vn
2019,NA,NA,4.988,NA,NA,4Vn
1970,NA,NA,3.85,NA,NA,4Vs
1971,NA,NA,3.43,NA,NA,4Vs
1972,NA,NA,3.63,NA,NA,4Vs
1973,NA,NA,2.99,NA,NA,4Vs
1974,NA,NA,3.59,NA,NA,4Vs
1975,NA,NA,4.63,NA,NA,4Vs
1976,NA,NA,3.68,NA,NA,4Vs
1977,NA,NA,4.4,NA,NA,4Vs
1978,NA,NA,3.96,NA,NA,4Vs
1979,NA,NA,4.01,NA,NA,4Vs
1980,NA,NA,4.21,NA,NA,4Vs
1981,NA,NA,4.27,NA,NA,4Vs
1982,NA,NA,2.5,NA,NA,4Vs
1983,NA,NA,3.37,NA,NA,4Vs
1984,NA,NA,5.28,NA,NA,4Vs
1985,NA,NA,3.22,NA,NA,4Vs
1986,NA,NA,3.64,NA,NA,4Vs
1987,NA,NA,2.37,NA,NA,4Vs
1988,NA,NA,4.06,NA,NA,4Vs
1989,NA,NA,2.49,NA,NA,4Vs
1990,NA,NA,2.27,NA,NA,4Vs
1991,NA,NA,2.33,NA,NA,4Vs
1992,NA,NA,3.14,NA,NA,4Vs
1993,NA,NA,3.14,NA,NA,4Vs
1994,NA,NA,2.67,NA,NA,4Vs
1995,NA,NA,3.06,NA,NA,4Vs
1996,NA,NA,2.83,NA,NA,4Vs
1997,NA,NA,3.15,NA,NA,4Vs
1998,NA,NA,3.39,NA,NA,4Vs
1999,NA,NA,3.79,NA,NA,4Vs
2000,NA,NA,4.21,NA,NA,4Vs
2001,NA,NA,3.15,NA,NA,4Vs
2002,NA,NA,3.69,NA,NA,4Vs
2003,NA,NA,2.39,NA,NA,4Vs
2004,NA,NA,2.5,NA,NA,4Vs
2005,NA,NA,3.73,NA,NA,4Vs
2006,NA,NA,4.04,NA,NA,4Vs
2007,NA,NA,3,NA,NA,4Vs
2008,NA,NA,3.3,NA,NA,4Vs
2009,NA,NA,3.7,NA,NA,4Vs
2010,NA,NA,3.71,NA,NA,4Vs
2011,NA,NA,4.08,NA,NA,4Vs
2012,NA,NA,4.52,NA,NA,4Vs
2013,NA,NA,4.05,NA,NA,4Vs
2014,NA,NA,4.37,NA,NA,4Vs
2015,NA,NA,5.22,NA,NA,4Vs
2016,NA,NA,4.75,NA,NA,4Vs
2017,NA,NA,4.61,NA,NA,4Vs
2018,NA,NA,NA,NA,NA,4Vs
2019,NA,NA,4.1,NA,NA,4Vs
1970,NA,NA,5.63,NA,NA,4W
1971,NA,NA,6.56,NA,NA,4W
1972,NA,NA,6.58,NA,NA,4W
1973,NA,NA,5.98,NA,NA,4W
1974,NA,NA,7.23,NA,NA,4W
1975,NA,NA,6.34,NA,NA,4W
1976,NA,NA,7.05,NA,NA,4W
1977,NA,NA,7.52,NA,NA,4W
1978,NA,NA,6.18,NA,NA,4W
1979,NA,NA,7.2,NA,NA,4W
1980,NA,NA,7.07,NA,NA,4W
1981,NA,NA,6.98,NA,NA,4W
1982,NA,NA,5.73,NA,NA,4W
1983,NA,NA,6.44,NA,NA,4W
1984,NA,NA,7.96,NA,NA,4W
1985,NA,NA,7.64,NA,NA,4W
1986,NA,NA,7.37,NA,NA,4W
1987,NA,NA,5.89,NA,NA,4W
1988,NA,NA,5.84,NA,NA,4W
1989,NA,NA,6.12,NA,NA,4W
1990,NA,NA,6.05,NA,NA,4W
1991,NA,NA,5.81,NA,NA,4W
1992,NA,NA,6.23,NA,NA,4W
1993,NA,NA,6.74,NA,NA,4W
1994,NA,NA,6.78,NA,NA,4W
1995,NA,NA,6.65,NA,NA,4W
1996,NA,NA,6.21,NA,NA,4W
1997,NA,NA,6.28,NA,NA,4W
1998,NA,NA,4.99,NA,NA,4W
1999,NA,NA,6.75,NA,NA,4W
2000,NA,NA,7.46,NA,NA,4W
2001,NA,NA,5.84,NA,NA,4W
2002,NA,NA,6.76,NA,NA,4W
2003,NA,NA,5.8,NA,NA,4W
2004,NA,NA,4.75,NA,NA,4W
2005,NA,NA,6.4,NA,NA,4W
2006,NA,NA,7.39,NA,NA,4W
2007,NA,NA,5.62,NA,NA,4W
2008,NA,NA,5.38,NA,NA,4W
2009,NA,NA,6.64,NA,NA,4W
2010,NA,NA,6.89,NA,NA,4W
2011,NA,NA,6.55,NA,NA,4W
2012,NA,NA,8.09,NA,NA,4W
2013,NA,NA,6.94,NA,NA,4W
2014,NA,NA,8.33,NA,NA,4W
2015,NA,NA,7.94,NA,NA,4W
2016,NA,NA,8.12,NA,NA,4W
2017,NA,NA,7.22,NA,NA,4W
2018,NA,NA,NA,NA,NA,4W
2019,NA,NA,7.27,NA,NA,4W
1970,NA,NA,6.32,NA,NA,4X
1971,NA,NA,7.11,NA,NA,4X
1972,NA,NA,6.3,NA,NA,4X
1973,NA,NA,7.83,NA,NA,4X
1974,NA,NA,8.07,NA,NA,4X
1975,NA,NA,7.32,NA,NA,4X
1976,NA,NA,8.63,NA,NA,4X
1977,NA,NA,7.09,NA,NA,4X
1978,NA,NA,7.15,NA,NA,4X
1979,NA,NA,7.89,NA,NA,4X
1980,NA,NA,7.63,NA,NA,4X
1981,NA,NA,6.9,NA,NA,4X
1982,NA,NA,7.47,NA,NA,4X
1983,NA,NA,7.39,NA,NA,4X
1984,NA,NA,7.91,NA,NA,4X
1985,NA,NA,8.47,NA,NA,4X
1986,NA,NA,7.77,NA,NA,4X
1987,NA,NA,6.31,NA,NA,4X
1988,NA,NA,7.12,NA,NA,4X
1989,NA,NA,7.24,NA,NA,4X
1990,NA,NA,7.14,NA,NA,4X
1991,NA,NA,6.66,NA,NA,4X
1992,NA,NA,7.44,NA,NA,4X
1993,NA,NA,7.06,NA,NA,4X
1994,NA,NA,8.13,NA,NA,4X
1995,NA,NA,6.78,NA,NA,4X
1996,NA,NA,6.99,NA,NA,4X
1997,NA,NA,7.42,NA,NA,4X
1998,NA,NA,5.23,NA,NA,4X
1999,NA,NA,7.91,NA,NA,4X
2000,NA,NA,8.26,NA,NA,4X
2001,NA,NA,6.37,NA,NA,4X
2002,NA,NA,8.12,NA,NA,4X
2003,NA,NA,7.45,NA,NA,4X
2004,NA,NA,6.04,NA,NA,4X
2005,NA,NA,7.27,NA,NA,4X
2006,NA,NA,8.14,NA,NA,4X
2007,NA,NA,6.24,NA,NA,4X
2008,NA,NA,6.88,NA,NA,4X
2009,NA,NA,7.24,NA,NA,4X
2010,NA,NA,7.57,NA,NA,4X
2011,NA,NA,7.7,NA,NA,4X
2012,NA,NA,9.36,NA,NA,4X
2013,NA,NA,8.28,NA,NA,4X
2014,NA,NA,8.91,NA,NA,4X
2015,NA,NA,8.15,NA,NA,4X
2016,NA,NA,9.09,NA,NA,4X
2017,NA,NA,8.81,NA,NA,4X
2018,NA,NA,8.64,NA,NA,4X
2019,NA,NA,8.38,NA,NA,4X
1972,NA,NA,NA,4860,NA,Scotian Shelf
1973,NA,NA,NA,5012,NA,Scotian Shelf
1974,NA,NA,NA,4856,NA,Scotian Shelf
1975,NA,NA,NA,4777,NA,Scotian Shelf
1976,NA,NA,NA,4664,NA,Scotian Shelf
1977,NA,NA,NA,4554,NA,Scotian Shelf
1978,NA,NA,NA,4352,NA,Scotian Shelf
1979,NA,NA,NA,4034,NA,Scotian Shelf
1980,NA,NA,NA,4379,NA,Scotian Shelf
1981,NA,NA,NA,4139,NA,Scotian Shelf
1982,NA,NA,NA,4053,NA,Scotian Shelf
1983,NA,NA,NA,4349,NA,Scotian Shelf
1984,NA,NA,NA,4326,NA,Scotian Shelf
1985,NA,NA,NA,4474,NA,Scotian Shelf
1986,NA,NA,NA,4567,NA,Scotian Shelf
1987,NA,NA,NA,5090,NA,Scotian Shelf
1988,NA,NA,NA,  NA,NA,Scotian Shelf
1989,NA,NA,NA,  NA,NA,Scotian Shelf
1990,NA,NA,NA,5841,NA,Scotian Shelf
1991,NA,NA,NA,6461,NA,Scotian Shelf
1992,NA,NA,NA,6240,NA,Scotian Shelf
1993,NA,NA,NA,6109,NA,Scotian Shelf
1994,NA,NA,NA,5778,NA,Scotian Shelf
1995,NA,NA,NA,5872,NA,Scotian Shelf
1996,NA,NA,NA,5968,NA,Scotian Shelf
1997,NA,NA,NA,6302,NA,Scotian Shelf
1998,NA,NA,NA,7215,NA,Scotian Shelf
1999,NA,NA,NA,4983,NA,Scotian Shelf
2000,NA,NA,NA,3461,NA,Scotian Shelf
2001,NA,NA,NA,6955,NA,Scotian Shelf
2002,NA,NA,NA,5213,NA,Scotian Shelf
2003,NA,NA,NA,6840,NA,Scotian Shelf
2004,NA,NA,NA,7973,NA,Scotian Shelf
2005,NA,NA,NA,4937,NA,Scotian Shelf
2006,NA,NA,NA,4006,NA,Scotian Shelf
2007,NA,NA,NA,6803,NA,Scotian Shelf
2008,NA,NA,NA,6581,NA,Scotian Shelf
2009,NA,NA,NA,4953,NA,Scotian Shelf
2010,NA,NA,NA,4836,NA,Scotian Shelf
2011,NA,NA,NA,4848,NA,Scotian Shelf
2012,NA,NA,NA,2887,NA,Scotian Shelf
2013,NA,NA,NA,5043,NA,Scotian Shelf
2014,NA,NA,NA,3300,NA,Scotian Shelf
2015,NA,NA,NA,4084,NA,Scotian Shelf
2016,NA,NA,NA,4252,NA,Scotian Shelf
2017,NA,NA,NA,4624,NA,Scotian Shelf
2018,NA,NA,NA,  NA,NA,Scotian Shelf
2019,NA,NA,NA,5096,NA,Scotian Shelf
1972,NA,NA,NA,NA,2.5,Scotian Shelf
1973,NA,NA,NA,NA,2.2,Scotian Shelf
1974,NA,NA,NA,NA,2.2,Scotian Shelf
1975,NA,NA,NA,NA,2.2,Scotian Shelf
1976,NA,NA,NA,NA,2.1,Scotian Shelf
1977,NA,NA,NA,NA,2.2,Scotian Shelf
1978,NA,NA,NA,NA,2.3,Scotian Shelf
1979,NA,NA,NA,NA,2.5,Scotian Shelf
1980,NA,NA,NA,NA,2.4,Scotian Shelf
1981,NA,NA,NA,NA,2.4,Scotian Shelf
1982,NA,NA,NA,NA,2.4,Scotian Shelf
1983,NA,NA,NA,NA,2.2,Scotian Shelf
1984,NA,NA,NA,NA,2.0,Scotian Shelf
1985,NA,NA,NA,NA,2.0,Scotian Shelf
1986,NA,NA,NA,NA,2.1,Scotian Shelf
1987,NA,NA,NA,NA,2.0,Scotian Shelf
1988,NA,NA,NA,NA, NA,Scotian Shelf
1989,NA,NA,NA,NA, NA,Scotian Shelf
1990,NA,NA,NA,NA,1.7,Scotian Shelf
1991,NA,NA,NA,NA,1.6,Scotian Shelf
1992,NA,NA,NA,NA,1.3,Scotian Shelf
1993,NA,NA,NA,NA,1.6,Scotian Shelf
1994,NA,NA,NA,NA,1.8,Scotian Shelf
1995,NA,NA,NA,NA,1.7,Scotian Shelf
1996,NA,NA,NA,NA,2.1,Scotian Shelf
1997,NA,NA,NA,NA,1.9,Scotian Shelf
1998,NA,NA,NA,NA,1.8,Scotian Shelf
1999,NA,NA,NA,NA,2.6,Scotian Shelf
2000,NA,NA,NA,NA,2.5,Scotian Shelf
2001,NA,NA,NA,NA,2.1,Scotian Shelf
2002,NA,NA,NA,NA,2.3,Scotian Shelf
2003,NA,NA,NA,NA,1.4,Scotian Shelf
2004,NA,NA,NA,NA,1.8,Scotian Shelf
2005,NA,NA,NA,NA,2.2,Scotian Shelf
2006,NA,NA,NA,NA,2.6,Scotian Shelf
2007,NA,NA,NA,NA,2.1,Scotian Shelf
2008,NA,NA,NA,NA,2.2,Scotian Shelf
2009,NA,NA,NA,NA,2.2,Scotian Shelf
2010,NA,NA,NA,NA,2.5,Scotian Shelf
2011,NA,NA,NA,NA,2.8,Scotian Shelf
2012,NA,NA,NA,NA,2.9,Scotian Shelf
2013,NA,NA,NA,NA,2.5,Scotian Shelf
2014,NA,NA,NA,NA,2.4,Scotian Shelf
2015,NA,NA,NA,NA,2.0,Scotian Shelf
2016,NA,NA,NA,NA,2.6,Scotian Shelf
2017,NA,NA,NA,NA,2.4,Scotian Shelf
2018,NA,NA,NA,NA, NA,Scotian Shelf
2019,NA,NA,NA,NA,2.2,Scotian Shelf
