station,year,Acartia_log10,Calanus_finmarchicus_log10,Calanus_hyperboreus_log10,Centropages_log10,Centropages_typicus_log10,Eurytemora_log10,Metridia_log10,Metridia_longa_log10,Metridia_lucens_log10,Microcalanus_log10,Oithona_log10,Oithona_atlantica_log10,Oithona_similis_log10,Paracalanus_log10,Pseudocalanus_log10,Temora_longicornis_log10,other_copepods_log10,copepods_log10,non_copepods_log10,Arctic_Calanus_species_log10,warm_offshore_copepods_log10,warm_shelf_copepods_log10,mesozooplankton_dry_biomass,zooplankton_wet_biomass
HL2,1999,NA,4.250606261329057,2.7048471480577367,3.730399205802066,2.673117095878598,NA,0.024692584744082716,2.3354541277135845,3.7118378304399027,3.172661198735357,0.077759515846207,2.9790133640730763,5.017750597783113,1.777902934361424,4.30557114485759,2.639930478365739,4.224115422295971,5.453827616786352,4.518792903294346,2.7434437704773726,1.1404825594767416,2.8968389262137473,1.328398951946509,25.287417428734212
HL2,2000,NA,4.2605853278525,1.778551257046373,4.250467909613844,3.069824222130946,NA,0.021226500237686893,2.9980321776756997,4.023442029889946,3.9058690246211856,0.1292187751150049,3.427205099897158,5.006812015006402,2.880309593371465,4.296957949204896,3.1587194977932613,4.171435783053576,5.467701193898697,4.100099359245467,1.9994418899707997,2.3725834086091497,3.900962667513334,3.291205108779789,27.80801777961354
HL2,2001,NA,4.234261147774943,3.135887156882098,3.8407166731612596,2.262769652277501,NA,-0.03808191534984655,1.8208422297114983,3.462104980516536,3.535051467435879,0.096075850659627135,2.6541108125720716,5.009929351645446,1.9725885464114277,4.06217907461597,2.4455583648644112,4.187268840606287,5.368129704719624,3.7739545386838445,3.282942242907005,0.6512702636295474,2.783353936535131,4.150313041934716,37.07709576883378
HL2,2002,NA,3.9404430598785547,2.499153590673182,1.088016739528023,0.8474594169062598,NA,0.07859089616062032,1.4576358880018514,3.4457900619727426,3.5601220460274843,-0.03860167949264909,2.155966145255265,4.448566251236495,1.611093716859278,3.8920541519650844,1.6886106338523255,3.8663658353773287,5.0399051081667015,3.585260498313379,2.56240717149909,0.9759671686231427,1.650810480507437,2.026066049163021,19.080693332836233
HL2,2003,NA,4.161587081341845,3.0902767422632333,3.2674911987020874,2.164933799328672,NA,0.3299978564897468,2.047830174636561,3.5575304052811254,3.161751052021215,0.017126301833317824,2.283765050677188,4.673633799759715,1.852413748161326,4.424278643318408,2.373033891931626,4.216469435227299,5.299218188651112,3.846145573572761,3.1829384065617417,0.498669576942795,2.5787608387788534,3.2447988846521776,31.665447941921535
HL2,2004,NA,4.113568683388165,2.9361331774168336,2.711080116297575,1.2205762253066783,NA,0.027828066832662958,2.3400381090960285,3.096479453598613,3.5723348449361234,0.1174977667853458,2.3518459713767697,4.968290195190649,1.551825505929792,4.337843354812826,3.239200684103656,4.092143910887943,5.333347867550466,4.06605593929527,3.0184552240665177,0.27803109621437694,1.6015880739007482,4.386022766291505,31.377047494175468
HL2,2005,NA,3.9878543007103335,2.662018202139709,3.2032888853432566,1.0735489827796136,NA,0.10746296221361532,2.7117746664757734,3.624625744233971,3.2614265140557626,2.737791277192306,2.4966287292676688,5.024585388570297,1.3681518724543333,3.4906300352270545,3.089476533511849,4.168153903461601,5.385646901560855,3.9022609109948525,2.805387546642702,1.3267357148431655,1.3735681552060608,4.150412417737302,20.516444994548845
HL2,2006,NA,4.054198519320974,2.6752804907527836,2.732436764413423,1.03765584507352,NA,-0.007828609748698735,3.0107481016242854,4.117344046028929,3.4944568575074326,1.8944235559891176,3.220163441142437,4.7503109278085756,1.4824458857245102,3.63471029298031,2.2224674440267935,3.8642785180478048,5.196211009492901,3.6838141985716493,2.852386492113327,1.673569856074693,1.598429696950409,3.1939742397380115,22.911599573458773
HL2,2007,NA,4.080555685642329,2.9891692444917792,3.113393776126582,0.25807768156186456,NA,-0.0019980259342502298,2.1343415137032253,3.6736737666847894,3.451336561233561,3.2189354696670365,2.4900406787500673,4.800629680530679,1.303806388030467,4.094695939010302,1.5327859197847822,4.038155885992405,5.141279325857781,3.674690077400626,3.288335263843109,0.44859616755689546,1.4398199939996446,3.9334664182568204,25.141593989911858
HL2,2008,NA,4.2529812611349955,3.32486478684778,3.8408557638808136,0.8201161749773797,NA,0.06973123422314871,1.073262856108362,3.3139680880258267,3.358935115949863,3.5513026809863044,2.7911833395634003,4.904398022148929,1.4785542300541286,4.333882548304303,2.93188670129769,4.374923097362742,5.309205179630946,3.999665249018263,3.421019121895582,0.46225082746486923,1.499641688697432,3.038326793995385,20.134190533635184
HL2,2009,NA,4.064439744652328,2.4435395730715315,3.0965874846186177,1.7449678196454133,NA,0.08807326381053669,3.2669940459441,3.47024687416444,3.5505673049810027,0.056225129255866375,3.3232705123154327,4.899429514675684,1.8466686471791298,4.148784098353351,2.7174641694905253,4.275434547319152,5.331787986940652,3.77293965367583,2.7235263722815186,1.5407003393703675,2.22361210837775,3.3858486513256336,22.503363732299285
HL2,2010,NA,4.167361613535112,2.704411097680239,2.680950194002094,1.0354390294543423,NA,1.1167081138602095,3.513775701161819,3.7902222658499323,3.4493952943328186,3.2368409375179565,3.3134846063452423,4.724225794401388,1.5579321255677623,3.665651011146343,2.5051384636873997,4.298733120400157,5.180954948177011,3.7415646866609884,2.765553949943959,0.808478785680823,1.6412834853020233,2.8554498947166973,20.483233908135226
