year,month,station,sea_surface_height
1936,8,Halifax,0.8
1936,9,Halifax,0.8
1936,10,Halifax,0.8
1936,11,Halifax,0.9
1936,12,Halifax,0.8
1937,1,Halifax,0.8
1937,2,Halifax,0.9
1937,3,Halifax,0.8
1937,4,Halifax,0.8
1937,5,Halifax,0.8
1937,6,Halifax,0.8
1937,7,Halifax,0.8
1937,8,Halifax,0.8
1937,9,Halifax,0.8
1937,10,Halifax,0.8
1937,11,Halifax,0.9
1937,12,Halifax,0.9
1938,1,Halifax,0.9
1938,2,Halifax,0.9
1938,3,Halifax,0.9
1938,4,Halifax,0.8
1938,5,Halifax,0.8
1938,6,Halifax,0.8
1938,7,Halifax,0.8
1938,8,Halifax,0.8
1938,9,Halifax,0.8
1938,10,Halifax,0.9
1938,11,Halifax,0.9
1938,12,Halifax,0.9
1939,1,Halifax,0.9
1939,2,Halifax,0.8
1939,3,Halifax,0.8
1939,4,Halifax,0.8
1939,5,Halifax,0.8
1939,6,Halifax,0.8
1939,7,Halifax,0.8
1939,8,Halifax,0.8
1939,9,Halifax,0.9
1939,10,Halifax,0.9
1939,11,Halifax,0.9
1939,12,Halifax,1
1940,1,Halifax,0.9
1940,2,Halifax,1
1940,3,Halifax,0.9
1940,4,Halifax,0.8
1940,5,Halifax,0.8
1940,6,Halifax,0.9
1940,7,Halifax,0.8
1940,8,Halifax,0.8
1940,9,Halifax,0.8
1940,10,Halifax,0.9
1940,11,Halifax,0.9
1940,12,Halifax,0.9
1941,1,Halifax,0.9
1941,2,Halifax,0.9
1941,3,Halifax,0.9
1941,4,Halifax,0.8
1941,5,Halifax,0.9
1941,6,Halifax,0.9
1941,7,Halifax,0.8
1941,8,Halifax,0.9
1941,9,Halifax,0.9
1941,10,Halifax,0.9
1941,11,Halifax,0.9
1941,12,Halifax,0.9
1942,1,Halifax,0.9
1942,2,Halifax,1
1942,3,Halifax,0.9
1942,4,Halifax,0.9
1942,5,Halifax,0.8
1942,6,Halifax,0.9
1942,7,Halifax,0.8
1942,8,Halifax,0.8
1942,9,Halifax,0.9
1942,10,Halifax,0.9
1942,11,Halifax,0.9
1942,12,Halifax,1
1943,1,Halifax,0.9
1943,2,Halifax,0.9
1943,3,Halifax,0.8
1943,4,Halifax,0.8
1943,5,Halifax,0.8
1943,6,Halifax,0.9
1943,7,Halifax,0.8
1943,8,Halifax,0.9
1943,9,Halifax,0.9
1943,10,Halifax,0.9
1943,11,Halifax,0.9
1943,12,Halifax,0.9
1944,1,Halifax,0.9
1944,2,Halifax,0.9
1944,3,Halifax,0.9
1944,4,Halifax,0.9
1944,5,Halifax,0.8
1944,6,Halifax,0.9
1944,7,Halifax,0.9
1944,8,Halifax,0.9
1944,9,Halifax,0.8
1944,10,Halifax,0.9
1944,11,Halifax,1
1944,12,Halifax,0.9
1945,1,Halifax,0.9
1945,2,Halifax,0.9
1945,3,Halifax,0.9
1945,4,Halifax,0.9
1945,5,Halifax,0.9
1945,6,Halifax,0.9
1945,7,Halifax,0.8
1945,8,Halifax,0.8
1945,9,Halifax,0.8
1945,10,Halifax,0.9
1945,11,Halifax,1
1945,12,Halifax,1
1946,1,Halifax,0.9
1946,2,Halifax,0.9
