station,year,diatoms_log10,dinoflagellates_log10,flagellates_log10,ciliates_log10
HL2,1999,4.110748574945062,3.5383587584248284,3.42814380234788,2.7616886631801876
HL2,2000,4.002510816219257,3.412737567088894,4.525778933838567,2.8607591445682723
HL2,2001,4.31215709995767,3.6433015129159134,3.738871347399886,2.6447850397740704
HL2,2002,3.899440586637161,3.177965747010384,3.606602409695613,1.7563569244683728
HL2,2003,4.184571753411981,3.2327595853336697,3.381649787379431,2.4272224480623827
HL2,2004,4.111417757297774,3.6577012653936714,4.327016055618601,2.757464760288383
HL2,2005,3.8699964776341544,3.3861638319766025,3.6743524523105036,2.586000482768746
HL2,2006,3.551437317572537,3.171982020869699,3.8290203911971217,1.8247701696930048
HL2,2007,4.079888598753579,3.573636016694761,4.22374503924626,2.87335262989383
HL2,2008,3.9534173655331517,3.766538813925016,4.17518367045669,2.677684009482423
HL2,2009,3.548710717828017,3.0493975522829952,3.5503011793977746,2.6687624869471436
HL2,2010,3.5250297860095534,3.0937065036239746,3.521770444652678,1.8968338158516267
HL2,2011,3.9374587765027957,3.4280295784731485,3.7486519537462155,2.7427038822479437
HL2,2012,3.525197512871379,3.0513451992654455,3.549455210033497,2.5040539183780184
HL2,2013,3.8887760187839677,3.3627455297995015,3.8364672777551254,2.5225341799644925
HL2,2014,4.126731708466427,3.31721621502745,4.023228380883485,3.0143317180451152
HL2,2015,3.7682098862089584,3.2348264783634706,3.655074528177385,2.6103459246097067
HL2,2016,3.5951580718747516,3.4269030664520237,3.9420445457225863,2.962846042924086
HL2,2017,3.835255009390955,3.1595595043482354,4.229609763282979,2.5768890106971947
HL2,2018,3.735577829992056,3.335836249043827,3.87368658015176,2.7917520961287723
HL2,2019,3.6835346061285166,3.198416550747671,3.982281075064856,2.759793644888079
HL2,2020,3.6100805752076623,3.4184555234187117,4.1573057246404925,2.715714583367817
HL2,2021,3.916273343374246,3.427064035487372,4.123146747621086,2.95001724793831
HL2,2022,3.9092818190395855,3.451724944335931,4.143268707529071,2.7583608953944587
HL2,2023,4.064651513183917,3.5558917040800377,4.281452379088491,2.9182078216483602
P5,1999,4.843737708837979,2.140325846837182,1.9757203841060746,1.5537096166905255
P5,2000,4.7075647376659395,2.7984190482173874,2.559025546505081,1.7963425977420557
P5,2001,4.685548440151403,2.305016268943637,2.720934564986368,0.8582376702911674
P5,2002,4.430178534475756,1.7045552032887894,0.9767458309233339,0.694319692246433
P5,2003,4.429843808923536,1.672335290899102,0.926447339458028,1.544505414812108
P5,2004,4.62650340025095,2.2097836395626813,1.0744044980153051,1.2912206683253302
P5,2005,4.278185357047609,1.6311543974606448,1.2870857624800371,0.7811188759171711
P5,2006,4.414871612069277,2.2846588587060435,0.4273490983047597,1.0289204408046022
P5,2007,4.418927859259012,1.694950458311328,1.230877764473943,0.807371887022011
P5,2008,4.609740403082791,1.9734528275024408,1.2248505277726958,1.3249412248369248
P5,2009,4.19829679274368,2.6448019017809257,1.4809019788140243,1.2516257861321711
P5,2010,4.344119917147679,1.3300399775987024,0.5757990143551145,0.24196937634034374
P5,2011,4.286279285801271,2.326135953318676,1.3001136810780072,2.3380173414072494
P5,2012,4.2075352723929615,3.0159784619015726,1.3115594733744746,1.7744571403260265
P5,2013,4.3770279066837885,2.590565117925497,1.4835068192860539,2.7645171561030257
P5,2014,4.2914877376630285,2.695837447443419,1.2163230588222271,1.9399034988617552
P5,2015,4.316998184642094,2.3059389286401144,1.5676093862455887,2.1912687509237427
P5,2016,4.259290412272841,2.7567609777445226,1.5813137606020446,2.453859633412173
P5,2017,4.4975843942362035,2.931140459260799,1.7392700624904884,2.3872650345048485
P5,2018,4.330484065378621,2.6932944301964428,1.2527734424732062,2.475428143565369
P5,2019,4.298831232004432,2.7164137185114563,1.1349285231046546,2.3707246501930292
P5,2020,4.2768313803435145,2.7496300386842836,0.9820464439230403,2.329196688887274
P5,2021,4.225349995084719,2.8879316460032305,1.5732487000443842,2.8491280820036677
P5,2022,4.279720041954749,2.657800687724126,1.472724465335934,2.5599935721795712
P5,2023,4.226625747246325,3.212697070673371,1.1026538152965648,1.6078393260199155
